Tweets
"{'text': '#Congress president #RahulGandhi is planning to chair a high-level meeting with party leaders PC Chacko and Sheila… https://t.co/myxLLULAsj', 'sentiment': 'neutral'}"
"{'text': ""#RahulGandhi's lucrative and seemingly clandestine means of income and his links to #scamaccused FTIL, Unitech  https://t.co/tqHCvRqBdX"", 'sentiment': 'neutral'}"
"{'text': '@INCIndia  invested more than 500 crore to get @RahulGandhi  politically trained.but neither well exposed nor the a… https://t.co/i0Qz88raRw', 'sentiment': 'positive'}"
"{'text': 'RT @sandipsabharwal: Best strategy for @BJP4India will be\nto withdraw their candidate from #WayanadElections2019 \nIn favour of the left\n\nTh…', 'sentiment': 'positive'}"
"{'text': ""RT @TigerRajaSingh: #Congress has insulted Hindu's time and again. It's time now we defeat congress.\n\n#RahulGandhi is sacred to contest #Lo…"", 'sentiment': 'neutral'}"
"{'text': '@MARCUS_BHARAT @RazaTwits @KPadmaRani1 @SimranT81812820 @WuntakalL @tarunagra1984 @Hajindersingh2 @beg_ilyas… https://t.co/VfuviWttYV', 'sentiment': 'neutral'}"
"{'text': 'It’s a bit rich for #RahulGandhi to talk of introducing democracy in cities by direct election of #Mayors, when he… https://t.co/o1h4uxjaTJ', 'sentiment': 'positive'}"
"{'text': '#RahulGandhi Scared Of Losing #Amethi?  https://t.co/aYT9384QUj', 'sentiment': 'neutral'}"
"{'text': 'RT @pritamkothadiya: @INCIndiaLive @rssurjewala #RahulGandhi must answer #India\n\n1. Did u buy 2 flats at Signature Tower 2 of Unitech in Gu…', 'sentiment': 'neutral'}"
"{'text': '#RahulDealWithScamsters are you sure its #rahulgandhi', 'sentiment': 'positive'}"
"{'text': '#RahulDealWithScamsters really #rahulgandhi @RahulGandhi ?', 'sentiment': 'positive'}"
"{'text': ""@republic @RahulGandhi source of income is #Scamesters and that's the only reason #RahulGandhi and family always be… https://t.co/hYJDRKAiHJ"", 'sentiment': 'neutral'}"
"{'text': 'RT @Anuraghindu86: Earlier prediction of #LokSabhaElections2019 \n#WestBengal In 42 Seats\nWinning \n#Bjp                18          \n#Congres…', 'sentiment': 'positive'}"
"{'text': 'RT @firstpost: The #Congress is likely to release its manifesto for the #LokSabhaElections2019 today. It will be released by #RahulGandhi h…', 'sentiment': 'neutral'}"
"{'text': 'The only possible aternative. TOPA is #RahulGandhi led Congress. https://t.co/6Upkb5AiQu', 'sentiment': 'neutral'}"
"{'text': ""#Congress' #PCChacko stirs massive row, says #India obliged to #Gandhis  #RahulGandhi #SoniaGandhi… https://t.co/JgYHQZioTf"", 'sentiment': 'neutral'}"
"{'text': '@INCIndiaLive @rssurjewala #RahulGandhi must answer #India\n\n1. Did u buy 2 flats at Signature Tower 2 of Unitech in… https://t.co/uXWtHFMsgs', 'sentiment': 'neutral'}"
"{'text': ""RT @AjantaNews: AAP's Tactical Move to Forge Alliance in Delhi for Lok Sabha Election Rejected by Congress President Rahul Gandhi, confirms…"", 'sentiment': 'neutral'}"
"{'text': '@INCIndia @INCGujarat @INCMaharashtra @INCRajasthan All Delhites will lose confidence and trust in #RahulGandhi,… https://t.co/74AmquPnu9', 'sentiment': 'neutral'}"
"{'text': 'RT @pennewstweet: LS election: BJP to rope in top leaders for campaign in Kerala\n#LSelection #BJP  #campaign #Kerala @smritiirani @rajnaths…', 'sentiment': 'positive'}"
"{'text': 'RT @GodsOwnChild007: All Delhites will lose confidence and trust in #RahulGandhi, #SheilaDixit and #Congress if they join hands with the sh…', 'sentiment': 'neutral'}"
"{'text': '@INCDelhi All Delhites will lose confidence and trust in #RahulGandhi, #SheilaDixit and #Congress if they join hand… https://t.co/Tl4mIBv5KD', 'sentiment': 'neutral'}"
"{'text': 'RT @GodsOwnChild007: @RahulGandhi All Delhites will lose confidence and trust in #RahulGandhi, #SheilaDixit and #Congress if they join hand…', 'sentiment': 'neutral'}"
"{'text': 'RT @GodsOwnChild007: @INCDelhi @SheilaDikshit @RahulGandhi @priyankagandhi @INCIndia @haroonyusuf22 @devendrayadvinc @RajeshLilothia @Pawan…', 'sentiment': 'neutral'}"
"{'text': 'LS election: BJP to rope in top leaders for campaign in Kerala\n#LSelection #BJP  #campaign #Kerala @smritiirani… https://t.co/abPWvLj2hD', 'sentiment': 'positive'}"
"{'text': '@INCDelhi @SheilaDikshit @RahulGandhi @priyankagandhi @INCIndia @haroonyusuf22 @devendrayadvinc @RajeshLilothia… https://t.co/rRG3pihdZf', 'sentiment': 'neutral'}"
"{'text': 'What #Chowkidars feel about #RahulGandhi #Nyay scheme!\n\n #LokSabhaElections2019 #NarendraModi @PMOIndia… https://t.co/pdoUjpWZLX', 'sentiment': 'neutral'}"
"{'text': '@RahulGandhi All Delhites will lose confidence and trust in #RahulGandhi, #SheilaDixit and #Congress if they join h… https://t.co/w5VHzqtNkR', 'sentiment': 'neutral'}"
"{'text': ""#Congress manifesto: Jobs, health in focus as #RahulGandhi unveils party's vision document today… https://t.co/JwAF1DDISQ"", 'sentiment': 'neutral'}"
"{'text': 'All Delhites will lose confidence and trust in #RahulGandhi, #SheilaDixit and #Congress if they join hands with the… https://t.co/J7ONbSmtsC', 'sentiment': 'neutral'}"
"{'text': 'RT @RajAGooner: #ModiHaiTohMumkinHai\n#ModiAgain\n#Modi\n #ModiOnceMore\n#RahulGandhi\nMust watch video for all #Indians and #Hindus \n@FMFpage h…', 'sentiment': 'neutral'}"
"{'text': '#RahulGandhi tweets give away #Congress manifesto?\n\n#LokSabhaElections2019 \n\nhttps://t.co/zsCsLkbfky', 'sentiment': 'neutral'}"
